county,police_area_pop,county_pop
avon_somerset,1590000.00,
cambridgeshire,700000.00,849000
cleveland,554000.00,554000
derbyshire,1040000.00,1042000
devon-cornwall,1650000.00,1733900
hertfordshire,1500000.00,1176700
humberside,1140200.00,1140200
manchester,2700000.00,2782100
merseyside,1360000.00,1406400
norfolk,859400.00,892900
staffordshire,1062500.00,1120300
warwickshire,554002.00,556800
west_marcia,1190000.00,1190000
west_midlands,2830000.00,2864900
west_yorkshire,2108000.00,2299700
bedfordshire,582600.00,
cheshire,1030000.00,
dorset,710500.00,
leicestershire,1000000.00,
lincolnshire,750000.00,
south-yorkshire,1280000.00,
suffolk,678000.00,
thames-valley,2100000.00,
hampshire,1900000.00,
durham,595308.00,
kent,1800000.00,
lancashire,1500000.00,
london,8000000.00,
surrey,1067200.00,
btp,,
cumbria,500000.00,
devon-and-cornwall,1650000.00,
dyfed-powys,500000.00,
essex,1720000 ,
gloucestershire,564000.00,
gwent,576700.00,
north-wales,675700.00,
north-yorkshire,813000.00,
northamptonshire,723000.00,
northern-ireland,1861200.00,
northumbria,1420400.00,
nottinghamshire,1034700.00,
south-wales,1227200.00,
sussex,1600000.00,
west-midlands,2830000.00,
wiltshire,680137.00,
city-of-london,9000.00,