date,hate_crimes,muslim_crimes,county
2016-08-01,1,NA,surrey
2016-09-01,1,NA,surrey
2016-10-01,2,NA,surrey
2016-11-01,6,NA,surrey
2016-12-01,10,NA,surrey
2017-01-01,3,NA,surrey
2017-02-01,7,NA,surrey
2017-03-01,11,NA,surrey
2017-04-01,6,NA,surrey
2017-05-01,11,NA,surrey
2017-06-01,18,NA,surrey
2017-07-01,12,NA,surrey
2017-08-01,7,NA,surrey
2017-09-01,4,NA,surrey
2017-10-01,8,NA,surrey
2017-11-01,7,NA,surrey
2017-12-01,5,NA,surrey
2018-01-01,6,NA,surrey
2018-02-01,4,NA,surrey
2018-03-01,5,NA,surrey
2018-04-01,5,NA,surrey